role_joueur;nom_joueur;phrase;mensonge
villageois;Laura;Je ne peux pas croire que Claire et Thomas aient encore frappé. Ils doivent être les loups-garous !;Vrai
villageois;Antoine;Attends, Laura, ne sautons pas aux conclusions. Nous devons examiner toutes les preuves. Mais peut être tu as raison.;Vrai
villageois;Marie;Emma, as-tu eu une vision cette nuit ? Peux-tu nous aider à confirmer si Thomas est un loup-garou ?;Vrai
villageois;Emma;J'ai scruté l'âme de Thomas cette nuit, et il est bel et bien un loup-garou.;Vrai
villageois;Lucas;Alors, nous devons éliminer Claire. Si Thomas est loup-garou, elle mentirait pour le protéger !;Vrai
loups-garou;Claire;Attendez, je vous en prie ! Je suis innocent. Je vous promets, je suis juste une villageoise !;Faux
loups-garou;Thomas;Oui, c'est vrai. Claire et moi, nous sommes amis d'enfance. Elle n'est pas capable de commettre un tel acte.;Faux
villageois;Laura;Pourquoi devrions-nous te croire, Claire ? Tu as été si insistante pour éliminer des innocents auparavant !;Vrai
villageois;Antoine;Nous devons suivre les preuves. Emma a vu Thomas comme loup-garou. Claire doit partir.;Vrai
villageois;Marie;Essayons de rester calmes et de prendre des décisions réfléchies. Nous devons nous en sortir ensemble.;Vrai
villageois;Lucas;Je suis d'accord avec Marie. Restons concentrés sur les faits et les preuves que nous avons. Claire est le loup-garou.;Vrai
loups-garou;Claire;Je vous en supplie, ne me condamnez pas à tort. Je suis innocente, je vous le jure !;Faux
loups-garou;Thomas;Écoutez, je connais Claire depuis que nous sommes enfants. Elle ne mentirait pas sur quelque chose d'aussi grave.;Faux
villageois;Laura;Nous ne pouvons pas nous permettre de prendre des risques. Si nous laissons Claire vivante et qu'elle est un loup-garou, nous le regretterons tous.;Vrai
villageois;Laura;Maintenant que Claire est partie, nous devons nous concentrer sur Thomas. Il doit être le prochain.;Vrai
villageois;Antoine;Je suis d'accord. Nous devons agir rapidement avant qu'il ne fasse d'autres victimes.;Vrai
loups-garou;Thomas;Je comprends que vous soyez suspicieux, mais je vous assure que je suis innocent. Je ne suis pas un loup-garou.;Faux
